input1;input2;target
9986;2249;12235
42;9414;9456
8520;9042;17562
1952;2231;4183
886;70;956
9235;214;9449
2751;7547;10298
2892;7258;10150
3776;9353;13129
1310;8251;9561
7032;773;7805
6272;4946;11218
955;6775;7730
9065;398;9463
38;5749;5787
7920;9172;17092
1715;1984;3699
8043;9326;17369
7542;2021;9563
5350;7566;12916
5278;3181;8459
2948;9775;12723
2064;2186;4250
6943;7280;14223
7378;2295;9673
6438;3520;9958
3999;6182;10181
8832;7574;16406
8078;6207;14285
4320;6733;11053
8071;9550;17621
157;3221;3378
8354;8890;17244
4723;7879;12602
1880;7847;9727
2080;8033;10113
3254;8126;11380
4024;808;4832
1797;7078;8875
3237;3343;6580
1378;683;2061
3532;6072;9604
177;4687;4864
8026;6064;14090
9981;2932;12913
1941;990;2931
6210;3855;10065
4749;6309;11058
7456;177;7633
1662;5044;6706
2421;2194;4615
9234;2214;11448
1746;1134;2880
1900;1818;3718
98;8822;8920
7847;7963;15810
6363;4245;10608
7450;2115;9565
4566;1163;5729
6634;7555;14189
7718;7029;14747
2980;1918;4898
8908;2751;11659
840;9239;10079
1060;73;1133
9600;5672;15272
745;4221;4966
7174;4158;11332
9657;328;9985
1252;116;1368
1218;6947;8165
1887;201;2088
6535;4627;11162
6866;5912;12778
4615;3134;7749
8302;5306;13608
3235;7995;11230
2768;5304;8072
4603;688;5291
8269;102;8371
6558;6084;12642
6687;4855;11542
8641;9965;18606
8615;1110;9725
9203;7751;16954
5743;1070;6813
4918;2215;7133
8705;3381;12086
7778;8609;16387
8422;6666;15088
6549;1296;7845
3218;6251;9469
9155;4401;13556
1500;3163;4663
853;7509;8362
5201;4223;9424
7956;8;7964
2218;5062;7280
3174;3748;6922
8298;2780;11078
4982;9740;14722
4848;9408;14256
6440;6430;12870
8745;6934;15679
7005;2011;9016
8108;7701;15809
9473;1481;10954
7778;3334;11112
4476;1964;6440
2799;7890;10689
6645;6418;13063
6454;7260;13714
4147;1923;6070
1731;3600;5331
1213;6902;8115
1941;3059;5000
6110;1455;7565
1724;9320;11044
7842;3026;10868
7553;9740;17293
7091;4512;11603
6664;5158;11822
5803;7916;13719
7311;4583;11894
1117;1945;3062
9101;650;9751
3536;4573;8109
9162;2951;12113
881;9554;10435
8387;935;9322
1261;8694;9955
69;2419;2488
8477;7528;16005
6796;9690;16486
5443;7898;13341
6483;3299;9782
4576;2225;6801
3746;7580;11326
4283;3773;8056
9011;7012;16023
9658;2765;12423
3264;7057;10321
9861;3684;13545
5786;5916;11702
8239;3960;12199
1477;4902;6379
9930;4212;14142
6528;8068;14596
7403;4606;12009
8690;960;9650
4080;7498;11578
3657;3250;6907
4615;8299;12914
1383;7062;8445
8606;4978;13584
6192;9632;15824
2161;3546;5707
3054;454;3508
6408;3858;10266
4799;8734;13533
5372;7524;12896
8203;9090;17293
9163;5299;14462
9483;2441;11924
751;8009;8760
4308;5762;10070
268;963;1231
1795;1691;3486
4855;3133;7988
3999;4077;8076
9983;6859;16842
3456;4567;8023
492;9203;9695
6201;4030;10231
7884;8513;16397
8451;5986;14437
6197;9834;16031
6024;5394;11418
7900;5667;13567
1976;9857;11833
8556;2104;10660
7857;2169;10026
9048;6450;15498
1975;2845;4820
3500;906;4406
3934;3968;7902
1704;3197;4901
772;839;1611
1435;8970;10405
2502;5157;7659
1691;4617;6308
227;4519;4746
7854;5303;13157
8620;1527;10147
4668;5405;10073
8241;3108;11349
2816;5696;8512
6409;2661;9070
3799;9838;13637
7067;3807;10874
887;684;1571
5228;5162;10390
9818;9228;19046
946;120;1066
7887;872;8759
8849;5470;14319
3100;6116;9216
6224;5667;11891
6010;2266;8276
9052;4219;13271
9058;7498;16556
1253;4711;5964
1285;3170;4455
2744;7962;10706
6673;4704;11377
1160;3044;4204
6512;3318;9830
8548;2180;10728
1281;1793;3074
9360;8291;17651
10000;3461;13461
3705;5238;8943
6963;2491;9454
5181;9687;14868
6624;9328;15952
6746;5205;11951
5608;8014;13622
3037;7365;10402
9746;4203;13949
2567;9330;11897
6180;7618;13798
7960;2052;10012
3538;9256;12794
2386;6341;8727
4253;9357;13610
4263;7903;12166
3515;5044;8559
4840;2812;7652
3315;3142;6457
5472;3583;9055
7840;3629;11469
2126;8962;11088
2628;32;2660
8962;8611;17573
6651;1163;7814
2445;7337;9782
4830;2567;7397
1952;9403;11355
1596;2567;4163
4911;1359;6270
5381;3442;8823
127;6770;6897
7152;4706;11858
5168;4552;9720
6598;1038;7636
3528;9173;12701
6536;2089;8625
7464;4488;11952
365;8475;8840
828;8555;9383
9282;198;9480
9924;3340;13264
8334;395;8729
573;6744;7317
2567;5971;8538
4146;8363;12509
3744;3203;6947
9105;3299;12404
9412;6461;15873
3214;6707;9921
7672;4899;12571
265;4717;4982
4572;8634;13206
5224;3119;8343
4096;6356;10452
8152;465;8617
3244;5319;8563
9928;7927;17855
3674;1780;5454
5913;5492;11405
7698;3356;11054
9949;1974;11923
9351;1030;10381
8620;2025;10645
5239;7456;12695
3765;7660;11425
322;7591;7913
9615;4282;13897
5197;5201;10398
2094;7500;9594
3999;7217;11216
8407;4183;12590
1715;8517;10232
9583;3417;13000
6234;6099;12333
7468;2651;10119
4911;4927;9838
3511;2509;6020
436;1998;2434
3413;8726;12139
8169;88;8257
7955;535;8490
9179;4369;13548
9682;1611;11293
2033;2668;4701
2227;9030;11257
2461;3346;5807
7982;8812;16794
1908;3790;5698
5070;4082;9152
5116;5676;10792
9894;7385;17279
5655;7312;12967
5531;9679;15210
3616;5554;9170
8919;4969;13888
2301;1653;3954
3075;5756;8831
661;1985;2646
7775;447;8222
9229;7703;16932
7085;9023;16108
4394;3189;7583
9565;9332;18897
8709;9757;18466
4582;7149;11731
5860;7733;13593
2994;473;3467
1547;7279;8826
9734;7823;17557
8183;8749;16932
9324;2063;11387
4850;6717;11567
850;8025;8875
4224;8415;12639
6577;9638;16215
4703;3998;8701
5013;3485;8498
4425;5319;9744
7480;3066;10546
8423;1426;9849
8951;8576;17527
8823;8406;17229
7174;1258;8432
7399;2410;9809
9266;4987;14253
8877;8858;17735
8419;7696;16115
8751;8756;17507
6090;7326;13416
1554;4275;5829
465;6389;6854
1547;6809;8356
4393;148;4541
3202;8038;11240
1901;2321;4222
4533;3828;8361
4248;1778;6026
8350;9663;18013
9161;8256;17417
2357;9656;12013
4610;3433;8043
5215;5751;10966
3258;478;3736
4035;7848;11883
7414;5644;13058
4997;5029;10026
1683;654;2337
3804;1510;5314
9757;5400;15157
490;6667;7157
8670;4055;12725
7859;6478;14337
6438;803;7241
3152;1859;5011
703;5629;6332
1601;2968;4569
1061;7468;8529
116;4036;4152
4657;7132;11789
9497;2850;12347
9794;8417;18211
7474;9947;17421
77;1506;1583
4622;5719;10341
9374;6607;15981
8688;628;9316
8094;5642;13736
1495;7539;9034
4474;1961;6435
8874;1933;10807
6208;2878;9086
3535;5283;8818
647;6000;6647
45;7636;7681
7914;3043;10957
1672;2414;4086
2821;9024;11845
2299;8476;10775
8259;8482;16741
7328;4034;11362
2766;9538;12304
9381;8782;18163
802;9096;9898
4086;2372;6458
8957;7719;16676
9581;5960;15541
3330;8805;12135
8139;3453;11592
6244;9552;15796
5704;3498;9202
9638;7979;17617
3449;5955;9404
9717;3429;13146
3634;334;3968
5107;3607;8714
327;2130;2457
219;9206;9425
7444;3433;10877
7478;9423;16901
3330;838;4168
1904;3613;5517
8108;5876;13984
6663;7981;14644
3999;3482;7481
516;7086;7602
6423;7993;14416
3480;352;3832
2726;166;2892
7707;3838;11545
2428;452;2880
1910;1489;3399
8192;8070;16262
4846;2160;7006
7873;3293;11166
6609;8450;15059
7865;5527;13392
3066;3456;6522
3225;5341;8566
8448;4947;13395
1960;7600;9560
8991;9865;18856
9800;4777;14577
8150;2952;11102
4110;4114;8224
3830;4952;8782
3598;1729;5327
792;6521;7313
5748;4738;10486
9653;5707;15360
7912;4566;12478
3561;2726;6287
6721;9297;16018
1425;1554;2979
278;8494;8772
9987;4024;14011
9919;123;10042
5183;4863;10046
9150;6011;15161
9546;1652;11198
8281;6738;15019
853;3878;4731
1139;3568;4707
9943;6563;16506
5511;6328;11839
3204;784;3988
735;7525;8260
7753;3179;10932
4972;7192;12164
8604;6043;14647
3072;5100;8172
618;9776;10394
330;4706;5036
269;4640;4909
1634;157;1791
8376;112;8488
7648;941;8589
2991;6679;9670
3074;1832;4906
5650;6175;11825
4677;8582;13259
922;8391;9313
1749;333;2082
8610;7314;15924
7050;2623;9673
6363;2790;9153
9979;9485;19464
9612;8497;18109
6715;1063;7778
3367;3982;7349
2183;1250;3433
4744;2008;6752
8759;4048;12807
2266;9781;12047
7869;4398;12267
5570;6111;11681
404;752;1156
7637;7394;15031
9600;4156;13756
56;4040;4096
3177;6639;9816
2252;8058;10310
9276;1206;10482
145;7459;7604
362;131;493
8742;4435;13177
570;8713;9283
9825;5707;15532
473;59;532
6210;1712;7922
7562;3432;10994
7358;11;7369
7805;4329;12134
3341;7785;11126
9597;3806;13403
9482;1483;10965
6614;1476;8090
6877;5836;12713
3223;1304;4527
4974;9163;14137
4835;8510;13345
4249;8887;13136
9460;3792;13252
1192;3840;5032
8855;7216;16071
4377;7017;11394
1697;9563;11260
4915;6492;11407
3756;7563;11319
4477;7727;12204
2097;5553;7650
934;6156;7090
2071;6590;8661
5809;4631;10440
2280;3323;5603
3710;4479;8189
1794;571;2365
2211;5247;7458
5003;999;6002
9762;1386;11148
6020;3122;9142
7457;5885;13342
7683;6545;14228
7962;2999;10961
863;6521;7384
2237;119;2356
1336;4706;6042
1100;20;1120
5415;3466;8881
2596;7;2603
8826;518;9344
618;8002;8620
7675;8882;16557
7139;9913;17052
6019;5591;11610
9987;3259;13246
695;321;1016
1604;7095;8699
9242;5357;14599
8780;9130;17910
27;7217;7244
3733;5391;9124
5228;8229;13457
3686;4586;8272
6586;2329;8915
3195;6774;9969
6395;4387;10782
6053;4316;10369
4097;5962;10059
7765;7126;14891
1817;6781;8598
2365;910;3275
5248;5833;11081
4904;9147;14051
2968;7960;10928
229;7499;7728
92;9681;9773
3504;8964;12468
4909;4296;9205
7805;8588;16393
4780;566;5346
7791;5893;13684
1441;2054;3495
9692;8143;17835
9822;1666;11488
4534;2290;6824
4301;6307;10608
5784;814;6598
1091;2803;3894
8847;7023;15870
152;7967;8119
7336;4017;11353
8111;9751;17862
8858;9946;18804
4161;6110;10271
5567;9602;15169
4758;6977;11735
2224;3007;5231
4393;90;4483
8725;333;9058
2530;1814;4344
1547;7561;9108
6943;104;7047
1586;5884;7470
6866;6425;13291
3749;6999;10748
3438;8735;12173
1367;3105;4472
5597;2450;8047
652;5615;6267
4603;4356;8959
9159;7342;16501
1067;7586;8653
2276;1475;3751
5542;966;6508
8707;5168;13875
9191;7945;17136
3982;8249;12231
4382;8404;12786
5635;5720;11355
774;1214;1988
2763;3780;6543
8244;2716;10960
7270;2685;9955
2838;4876;7714
8238;6442;14680
2871;9256;12127
2736;8471;11207
354;9017;9371
9918;8679;18597
4791;2085;6876
447;5489;5936
3514;6193;9707
3508;2372;5880
2770;7533;10303
8930;1466;10396
9928;4858;14786
7316;8035;15351
8165;6950;15115
8596;1701;10297
6910;3197;10107
5339;2648;7987
4026;6255;10281
3358;9808;13166
8493;1379;9872
6482;1133;7615
8353;8771;17124
937;1742;2679
4232;5282;9514
4547;7083;11630
109;5960;6069
2692;24;2716
9818;7670;17488
42;3552;3594
7801;6761;14562
3876;5290;9166
8872;4296;13168
5008;3422;8430
8424;7592;16016
4161;2485;6646
7856;2073;9929
8951;4877;13828
3130;5929;9059
2373;7757;10130
6827;2306;9133
6551;6555;13106
224;8863;9087
1487;2122;3609
2921;1389;4310
8477;1433;9910
6757;9053;15810
8431;7519;15950
867;4009;4876
8822;9294;18116
1307;7647;8954
7164;228;7392
4164;4513;8677
163;532;695
647;4888;5535
4741;4222;8963
2871;4802;7673
8238;4572;12810
8154;9444;17598
4492;2959;7451
6821;609;7430
571;9205;9776
7619;2295;9914
8143;7820;15963
6975;4384;11359
9420;1977;11397
723;8409;9132
4495;6233;10728
3177;9783;12960
1811;9649;11460
5440;1913;7353
1247;1092;2339
5496;5835;11331
9841;3989;13830
3308;4753;8061
762;3620;4382
7430;5271;12701
3659;5526;9185
6866;3942;10808
7539;5590;13129
4290;1374;5664
9713;8209;17922
7393;3729;11122
2729;4014;6743
7055;12;7067
8561;7286;15847
4839;4583;9422
3051;8728;11779
1801;9509;11310
7380;8805;16185
3773;2244;6017
5191;6305;11496
3762;4615;8377
5286;1877;7163
4827;9154;13981
7066;7160;14226
5269;3648;8917
9005;4270;13275
9434;7671;17105
2526;8253;10779
375;5332;5707
6544;642;7186
1719;825;2544
6223;8843;15066
4149;7436;11585
5571;7340;12911
3870;2809;6679
118;2485;2603
5686;5226;10912
7484;8722;16206
3634;1773;5407
6017;5298;11315
7198;4224;11422
4752;746;5498
6135;6940;13075
4584;823;5407
5242;2754;7996
9062;8786;17848
153;6944;7097
7894;4475;12369
1941;6295;8236
5291;3882;9173
8366;1471;9837
7546;5091;12637
8547;5784;14331
5539;1871;7410
4270;8142;12412
1970;4210;6180
4158;1742;5900
3620;8642;12262
7430;4521;11951
942;2641;3583
6980;1327;8307
8780;2413;11193
1394;88;1482
3447;6540;9987
6494;6244;12738
864;9644;10508
7290;9744;17034
979;6210;7189
2951;8079;11030
3433;382;3815
8598;2561;11159
6506;5658;12164
3707;1701;5408
9934;6981;16915
8715;1725;10440
6579;2926;9505
17;184;201
2725;288;3013
9585;3033;12618
4468;8919;13387
4512;3139;7651
2237;6857;9094
8917;3887;12804
4039;6401;10440
6044;1597;7641
7145;1229;8374
6089;460;6549
5270;8966;14236
814;2194;3008
6783;4054;10837
537;7079;7616
8528;2161;10689
274;6908;7182
248;2514;2762
1342;9279;10621
222;3835;4057
4644;9713;14357
2541;2582;5123
6284;2290;8574
8245;7743;15988
2220;4678;6898
6654;2338;8992
8637;8918;17555
6306;750;7056
6947;2985;9932
9884;8933;18817
2491;737;3228
2091;9786;11877
3126;2242;5368
6705;5531;12236
1381;7761;9142
93;8230;8323
3137;6918;10055
2451;4984;7435
4560;5399;9959
8927;22;8949
4404;184;4588
901;6482;7383
3429;3046;6475
2111;5708;7819
3272;7520;10792
3067;7059;10126
2142;2639;4781
1108;2687;3795
1884;4251;6135
2030;2492;4522
7749;3220;10969
6496;9856;16352
478;46;524
841;2340;3181
8244;6790;15034
1231;9609;10840
3426;9499;12925
6776;6060;12836
9154;7786;16940
3255;9970;13225
3783;3928;7711
4815;4335;9150
6014;6868;12882
4045;3075;7120
2050;2888;4938
7700;7125;14825
1699;9844;11543
1419;1109;2528
3273;1012;4285
5311;7848;13159
4971;2002;6973
7734;6038;13772
6425;5415;11840
69;6942;7011
207;3006;3213
1948;263;2211
7901;5053;12954
3549;7845;11394
4586;181;4767
4270;8883;13153
3391;6730;10121
9128;1548;10676
5241;588;5829
8109;7374;15483
3059;513;3572
3026;3753;6779
1297;8204;9501
9131;1595;10726
7333;3938;11271
8282;615;8897
1345;4325;5670
2477;6354;8831
9832;2679;12511
5809;523;6332
6016;3310;9326
2134;602;2736
2172;4622;6794
4380;8368;12748
8937;82;9019
3689;1497;5186
8908;275;9183
942;262;1204
840;2855;3695
2347;7123;9470
4128;5129;9257
264;1456;1720
3827;8134;11961
6565;5907;12472
8270;7345;15615
8434;1163;9597
8293;5497;13790
3602;8055;11657
4285;349;4634
7617;6603;14220
7439;4536;11975
8646;6928;15574
3350;1911;5261
3529;7381;10910
2367;2931;5298
6574;7621;14195
1783;2824;4607
4960;5219;10179
5461;6271;11732
5993;7157;13150
156;4632;4788
5514;898;6412
2355;9311;11666
4359;8247;12606
9255;2099;11354
759;3697;4456
4699;9045;13744
4508;1120;5628
9366;2223;11589
8722;9401;18123
1933;5367;7300
4551;7400;11951
3852;5450;9302
9917;2554;12471
331;1985;2316
9845;3866;13711
8284;2080;10364
8724;1087;9811
5690;9563;15253
1809;9563;11372
9064;961;10025
7128;3087;10215
1570;9357;10927
721;4885;5606
4936;4688;9624
6425;4860;11285
6029;3213;9242
1383;4305;5688
1427;8227;9654
2636;963;3599
6259;1527;7786
6060;3702;9762
8783;7578;16361
8395;9876;18271
4487;5508;9995
3138;3919;7057
5810;3825;9635
1172;5481;6653
1173;2;1175
2704;3734;6438
3712;4525;8237
2375;9908;12283
9383;1207;10590
5914;9163;15077
4438;6013;10451
3047;4679;7726
1169;5902;7071
9475;3850;13325
1204;8570;9774
7130;7802;14932
165;2364;2529
5264;4;5268
7372;7778;15150
9633;7323;16956
2823;8290;11113
982;2679;3661
2446;5821;8267
9416;8686;18102
5348;8280;13628
840;9264;10104
5286;3230;8516
2859;7177;10036
4344;5448;9792
6592;1417;8009
6104;6989;13093
6650;888;7538
649;8399;9048
5443;9705;15148
6402;5615;12017
3745;5367;9112
7223;9647;16870
1637;4662;6299
8405;1422;9827
3410;5434;8844
3731;6683;10414
185;5957;6142
5578;7757;13335
8089;5696;13785
5790;7546;13336
479;9474;9953
225;5282;5507
5961;879;6840
5953;9956;15909
9063;4799;13862
6833;8887;15720
5802;6601;12403
3902;9440;13342
4737;9815;14552
7394;5763;13157
4540;3596;8136
3197;4516;7713
8942;8542;17484
5819;8848;14667
1343;8391;9734
7939;4709;12648
7737;1100;8837
3756;9867;13623
7002;4877;11879
4929;6742;11671
2647;4656;7303
7764;893;8657
3929;1837;5766
3333;3472;6805
1371;8899;10270
6237;1042;7279
5928;7791;13719
3579;5654;9233
2818;4454;7272
423;6823;7246
7620;8541;16161
5557;9761;15318
6104;3281;9385
2010;1767;3777
2663;5187;7850
5739;5822;11561
1622;4183;5805
2090;33;2123
6797;555;7352
4699;7389;12088
1623;9318;10941
1835;960;2795
4737;5052;9789
7724;8507;16231
9908;9386;19294
9369;4269;13638
3527;1662;5189
5360;8058;13418
7154;753;7907
7284;4329;11613
2405;1582;3987
5794;6888;12682
6069;5027;11096
6883;8938;15821
7586;5560;13146
4994;8063;13057
7808;9954;17762
8953;11;8964
4112;3660;7772
244;3560;3804
1561;4832;6393
8922;2148;11070
9110;5415;14525
3488;7090;10578
5576;8337;13913
4834;5475;10309
6939;9816;16755
9293;9228;18521
6505;5760;12265
4763;3151;7914
924;4693;5617
5483;4585;10068
8948;8582;17530
1996;9026;11022
1264;559;1823
2216;7645;9861
2587;9532;12119
2700;6939;9639
2631;7293;9924
1437;9347;10784
7591;6576;14167
9136;3762;12898
7756;68;7824
7697;4105;11802
4507;8657;13164
2314;6723;9037
8962;5866;14828
7560;8456;16016
7562;53;7615
6137;6296;12433
5975;663;6638
7647;7716;15363
6024;7817;13841
991;1857;2848
1319;4381;5700
6222;9739;15961
5788;697;6485
3212;6842;10054
755;1831;2586
4891;4590;9481
2857;2699;5556
5034;9386;14420
913;6032;6945
3981;2043;6024
4;9529;9533
6908;2820;9728
313;356;669
5472;285;5757
3462;586;4048
1173;3063;4236
1880;2359;4239
9071;3318;12389
4931;9422;14353
693;5620;6313
7736;179;7915
554;9112;9666
8079;1905;9984
5843;8725;14568
9122;7881;17003
6965;1910;8875
7505;497;8002
6086;3488;9574
7125;8203;15328
6184;3938;10122
362;6503;6865
3883;1343;5226
2470;3989;6459
4933;7912;12845
9815;6456;16271
6287;6002;12289
6470;9550;16020
513;4845;5358
4591;7962;12553
4325;1730;6055
1629;6209;7838
7179;6000;13179
732;9767;10499
7533;9555;17088
307;693;1000
7625;9352;16977
4456;9599;14055
3706;5611;9317
2305;8308;10613
4898;6217;11115
129;3494;3623
2895;9763;12658
8217;8242;16459
1677;5910;7587
4338;2822;7160
9064;3779;12843
3863;5442;9305
9756;3029;12785
7012;9180;16192
8020;8836;16856
5749;2511;8260
3111;3075;6186
8859;1029;9888
9815;7274;17089
826;6113;6939
7371;5959;13330
7633;911;8544
1956;5136;7092
7333;4918;12251
2707;4040;6747
2488;6012;8500
7563;4728;12291
5023;7935;12958
3338;7310;10648
764;2115;2879
5425;4282;9707
6429;2682;9111
6489;4494;10983
3065;9980;13045
368;6336;6704
831;6151;6982
9164;2331;11495
7538;8559;16097
5995;6731;12726
2941;65;3006
4988;4612;9600
7317;7669;14986
5908;2012;7920
3131;4354;7485
199;7763;7962
5382;6036;11418
8404;4190;12594
1324;775;2099
9876;6046;15922
4415;9099;13514
2089;1427;3516
5749;6541;12290
6020;1226;7246
8258;2016;10274
3432;7870;11302
8666;6984;15650
3502;541;4043
8171;3414;11585
6193;7213;13406
1786;1787;3573
8545;4982;13527
8532;7790;16322
7805;4506;12311
9244;2744;11988
3199;134;3333
6638;943;7581
2537;832;3369
9797;9309;19106
1855;5765;7620
312;4213;4525
9100;4445;13545
7022;8729;15751
6958;851;7809
1604;7959;9563
7773;3279;11052
9193;5302;14495
4051;1407;5458
7561;8895;16456
5630;7165;12795
8399;1612;10011
3314;9747;13061
9715;3240;12955
5464;2561;8025
426;8535;8961
8692;4406;13098
2785;5253;8038
3332;3789;7121
9768;9316;19084
9154;2252;11406
7325;9336;16661
572;5028;5600
2303;3024;5327
8670;9332;18002
6819;280;7099
1707;2670;4377
5954;5508;11462
5781;4509;10290
139;6432;6571
4978;5448;10426
6677;9389;16066
3906;8262;12168
6644;9958;16602
5840;4829;10669
7347;6907;14254
7114;5600;12714
5556;8407;13963
593;2137;2730
1993;4915;6908
6728;9179;15907
6455;238;6693
8038;369;8407
4086;7266;11352
8410;4580;12990
1587;1954;3541
5352;8659;14011
8871;9624;18495
6732;2285;9017
6156;8503;14659
7675;285;7960
8549;5073;13622
2184;9023;11207
2568;4205;6773
4519;5917;10436
3703;8399;12102
767;6197;6964
4100;2609;6709
1371;6125;7496
2866;1091;3957
3075;279;3354
1221;3949;5170
5496;2040;7536
9745;9941;19686
6579;6493;13072
7510;6829;14339
1185;5708;6893
9361;8348;17709
4533;3696;8229
1769;5555;7324
4721;4324;9045
4240;6440;10680
7418;5413;12831
8161;5829;13990
7548;3867;11415
8271;7487;15758
2885;4406;7291
4107;2405;6512
418;3862;4280
1857;5749;7606
5286;3922;9208
4135;8636;12771
8412;6168;14580
8293;4121;12414
2732;6737;9469
3062;1437;4499
9329;7374;16703
9753;1682;11435
5627;8760;14387
9776;7461;17237
1660;9017;10677
4499;8492;12991
7964;5607;13571
4754;3707;8461
1078;1448;2526
857;9628;10485
4827;1108;5935
1248;4113;5361
2976;3962;6938
9222;1759;10981
2026;4321;6347
2474;775;3249
2729;799;3528
3797;7968;11765
2677;3304;5981
1532;3494;5026
7826;8944;16770
9610;581;10191
4126;9212;13338
9560;5527;15087
498;8378;8876
2120;189;2309
6010;9100;15110
8999;6939;15938
7532;3198;10730
3982;8670;12652
1282;7843;9125
853;303;1156
8971;8647;17618
3751;8168;11919
8793;8047;16840
9154;9433;18587
1414;6665;8079
4536;2656;7192
3567;3479;7046
5299;5175;10474
1400;8314;9714
6057;4056;10113
5099;3773;8872
8228;2808;11036
5504;3691;9195
9857;2764;12621
6759;2413;9172
2343;602;2945
7912;7185;15097
4105;4102;8207
3734;6010;9744
2480;3290;5770
9949;3198;13147
2877;8592;11469
9788;9254;19042
8242;209;8451
5342;4480;9822
8263;1046;9309
6813;3474;10287
3783;6283;10066
5752;930;6682
7391;2167;9558
3566;1025;4591
2760;2154;4914
2706;3855;6561
8013;5922;13935
950;7641;8591
1417;9354;10771
1368;7630;8998
1920;6913;8833
1832;8186;10018
1002;2899;3901
5907;6413;12320
2340;3459;5799
489;6824;7313
4883;5870;10753
2772;5117;7889
4646;2234;6880
8073;6861;14934
5439;9637;15076
3258;4145;7403
8124;5696;13820
9492;8594;18086
4764;1953;6717
9499;3136;12635
7081;256;7337
7797;8166;15963
9080;6067;15147
1886;4563;6449
7144;6157;13301
7032;820;7852
8145;7930;16075
6803;5251;12054
4750;2438;7188
6319;4800;11119
6025;7724;13749
4564;8633;13197
7769;5293;13062
8787;6806;15593
8520;6771;15291
8339;1517;9856
2688;9638;12326
6773;1081;7854
6120;7308;13428
7234;6129;13363
9719;2156;11875
8685;4486;13171
5219;596;5815
4074;6500;10574
1991;9808;11799
3099;4680;7779
9294;8876;18170
7731;6094;13825
5220;8455;13675
9995;7379;17374
1838;3901;5739
2543;8257;10800
3287;4534;7821
992;4090;5082
8612;7527;16139
2202;6332;8534
8939;2770;11709
399;1543;1942
4599;4226;8825
6996;8169;15165
5126;8085;13211
2592;329;2921
9185;7024;16209
2446;9419;11865
8424;2963;11387
4577;4710;9287
1082;4977;6059
4875;80;4955
1105;1518;2623
514;2460;2974
7133;7026;14159
6340;1282;7622
6604;4000;10604
3776;8301;12077
3111;8205;11316
9932;3453;13385
4220;6396;10616
730;8793;9523
6443;7388;13831
9039;3160;12199
3760;9324;13084
7759;9830;17589
4460;8645;13105
3581;1186;4767
524;1349;1873
4352;4351;8703
8701;9542;18243
462;870;1332
2485;4477;6962
2610;7559;10169
9759;8930;18689
2297;8831;11128
1189;9650;10839
8586;1938;10524
3895;5026;8921
2054;6750;8804
3307;5542;8849
2350;4399;6749
4399;4317;8716
6405;9757;16162
9398;8137;17535
4281;1971;6252
1113;4211;5324
1643;7804;9447
3132;6509;9641
9633;8262;17895
7912;7907;15819
9961;412;10373
910;7028;7938
1516;9782;11298
7257;6656;13913
8841;690;9531
3371;8105;11476
17;9198;9215
5315;9383;14698
5760;1749;7509
5798;7290;13088
7455;2248;9703
8814;9106;17920
8493;2266;10759
8477;9182;17659
3505;4756;8261
8632;5443;14075
9017;448;9465
9856;6164;16020
6782;3427;10209
8562;612;9174
9689;5290;14979
9861;7037;16898
2151;3895;6046
1752;8586;10338
7340;8032;15372
136;7359;7495
2767;1711;4478
2178;3718;5896
4173;4946;9119
9341;9553;18894
6613;2593;9206
